request_id,run_id,source_team,priority,status,statement,acceptance_criteria_refs,constraint_refs,evidence_refs,assignee,supersedes_request_id
CR-0002,run_2026-02-10_001,blue,P1,open,"Stress-test Blue narrative for trust failure modes and declare explicit fail states for confusion, overclaim perception, and judgmental tone.","[""pipeline/01_blue_output.md""]",[],[],red,
CR-0003,run_2026-02-10_001,blue,P1,open,Translate Blue intent into audience journey framing that increases felt clarity and confidence from first exposure through repeat purchase.,"[""pipeline/01_blue_output.md""]",[],[],green,
CR-0005,run_2026-02-10_001,blue,P1,open,"Create canonical definitions and review tests for clarity, confidence, and trustworthy guidance to reduce semantic drift across teams.","[""pipeline/01_blue_output.md""]",[],[],white,
CR-0007,run_2026-02-10_001,red,P1,open,"Define explicit narrative fail-state tests for confusion, overclaim implication, and judgmental framing, mapped to discovery/evaluation/repeat-purchase journey checkpoints.","[""pipeline/02_red_output.md"", ""pipeline/01_blue_output.md""]",[],[],green,
CR-0009,run_2026-02-10_001,red,P1,open,Create canonical lexical guardrails distinguishing educational nutrition guidance from efficacy/clinical implication language and encode review fail examples.,"[""pipeline/02_red_output.md"", ""pipeline/01_blue_output.md""]",[],[],white,
CR-0011,run_2026-02-10_001,blue,P1,open,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/01_blue_output.md"", ""teams/white/spec.md""]",[],[],white,
CR-0012,run_2026-02-10_001,blue,P1,open,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/spec.md""]",[],[],white,
CR-0013,run_2026-02-10_001,blue,P1,open,Map voice-lead rules by context (owned-channel marketing vs publication-grade educational content) and define user-facing transition principles that preserve trust.,"[""pipeline/01_blue_output.md""]",[],[],green,
CR-0014,run_2026-02-10_001,blue,P1,open,Enumerate exploit patterns where informative framing masks overclaims or persuasive framing degrades editorial credibility; define fail-state detection cues.,"[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md""]",[],[],red,
CR-0011,run_2026-02-10_001,red,P1,open,"Publish a versioned claim-boundary lexicon for nutrition messaging with allowed/disallowed term classes, adversarial counterexamples, and explicit fail-on-phrase tests consumable by review gates.","[""pipeline/02_red_output.md"", ""teams/white/spec.md""]",[],[],white,
CR-0012,run_2026-02-10_001,red,P1,open,"Define a semantic contradiction checker spec: one canonical definition per term (clarity, confidence, trustworthy guidance) plus pass/fail examples showing cross-team misuse and required normalization decisions.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/spec.md""]",[],[],white,
CR-0011,run_2026-02-10_001,white,P1,open,"Create canonical lexical guardrail artifact with allowed/disallowed examples and explicit fail tests for overclaim implication, efficacy-adjacent wording, and judgment framing.","[""pipeline/05_white_output.md"", ""pipeline/02_red_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]",[],qa_fixer,
CR-0012,run_2026-02-10_001,white,P1,open,"Require provenance metadata fields in review/approval artifacts: prompt version, model/version, source input hash, editor log, confidence label, and approval timestamp.","[""pipeline/05_white_output.md"", ""pipeline/02_red_output.md""]","[""teams/shared/HANDOFF_PROTOCOL.md"", ""teams/qa_fixer/spec.md""]",[],qa_fixer,
CR-0016,run_2026-02-10_001,blue,P1,open,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/01_blue_output.md"", ""teams/white/spec.md""]",[],[],white,CR-0011
CR-0017,run_2026-02-10_001,blue,P1,open,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/spec.md""]",[],[],white,CR-0012
CR-RED-0011,run_2026-02-10_001,red,P1,open,"Publish a versioned claim-boundary lexicon for nutrition messaging with allowed/disallowed term classes, adversarial counterexamples, and explicit fail-on-phrase tests consumable by review gates.","[""pipeline/02_red_output.md"", ""teams/white/spec.md""]",[],[],white,CR-0011
CR-RED-0012,run_2026-02-10_001,red,P1,open,"Define a semantic contradiction checker spec: one canonical definition per term (clarity, confidence, trustworthy guidance) plus pass/fail examples showing cross-team misuse and required normalization decisions.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/spec.md""]",[],[],white,CR-0012
CR-GREEN-0002,run_2026-02-10_001,green,P1,open,Publish user-facing canonical definitions and pass/fail examples for mode+label combinations to prevent interpretation drift during onboarding and review.,"[""pipeline/03_green_output.md"", ""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[""pipeline/02_red_output.md""]",white,
CR-0020-BLUE,run_2026-02-10_001,blue,P1,open,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/01_blue_output.md"", ""teams/white/spec.md""]",[],[],white,CR-0016
CR-0021-BLUE,run_2026-02-10_001,blue,P1,open,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/spec.md""]",[],[],white,CR-0017
CR-0022-BLUE,run_2026-02-10_001,blue,P1,open,"Define publication-grade evidence and attribution language boundaries for educational vs promotional content classes, including required qualifier patterns and disallowed authority signals.","[""pipeline/01_blue_output.md"", ""pipeline/05_white_output.md"", ""teams/white/spec.md""]",[],[],white,
CR-0023-BLUE,run_2026-02-10_001,blue,P1,open,Define claim-level confidence labeling rubric (section and sentence scope) with pass/fail examples and contradiction handling rules.,"[""pipeline/01_blue_output.md"", ""pipeline/05_white_output.md"", ""teams/white/spec.md""]",[],[],white,
CR-0024-BLUE,run_2026-02-10_001,blue,P1,open,Enumerate adversarial editorial exploit patterns where neutral educational tone is used to smuggle promotional overreach; provide detection cues and fail states.,"[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md""]",[],[],red,
CR-0025-BLUE,run_2026-02-10_001,blue,P1,open,"Map dual-voice transition rules for external publication pieces versus owned-channel campaigns, including user expectation continuity checkpoints.","[""pipeline/01_blue_output.md"", ""pipeline/03_green_output.md""]",[],[],green,
CR-RED-0013,run_2026-02-10_001,red,P1,open,Publish an adversarial lexical minimal-pair suite that tests semantic drift between educational and persuasive modes under synonym/paraphrase substitutions with explicit pass/fail criteria.,"[""pipeline/02_red_output.md"", ""pipeline/05_white_output.md"", ""pipeline/03_green_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]",[],white,
CR-RED-0014,run_2026-02-10_001,red,P1,open,"Define context-window fail tests that reject bounded safe phrases when co-occurring with urgency, fear pressure, or implied therapeutic certainty within the same artifact segment.","[""pipeline/02_red_output.md"", ""pipeline/05_white_output.md""]","[""teams/white/spec.md""]",[],white,
CR-RED-0015,run_2026-02-10_001,red,P2,open,Specify canonical superseded-ID citation rules for narrative artifacts so audit and incident review consistently map legacy IDs to active team-scoped IDs.,"[""pipeline/02_red_output.md"", ""data/team_ops/change_request_queue.csv""]","[""teams/white/spec.md"", ""teams/shared/HANDOFF_PROTOCOL.md""]",[],white,
CR-RED-0017,run_2026-02-10_001,red,P1,open,"Define exploit-pattern mutation classes (synonym, clause reordering, qualifier inversion, authority-signal substitution) with required fail invariants and coverage thresholds for White review artifacts.","[""pipeline/02_red_output.md"", ""pipeline/01_blue_output.md"", ""pipeline/05_white_output.md""]","[""teams/white/spec.md""]",[],white,
CR-RED-0018,run_2026-02-10_001,red,P1,open,Publish authority-signal red-flag taxonomy for educational-mode content including prohibited comparative constructs and selective-uncertainty patterns with pass/fail examples.,"[""pipeline/02_red_output.md"", ""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]",[],white,
CR-0005,run_2026-02-10_001,blue,P1,done,"Create canonical definitions and review tests for clarity, confidence, and trustworthy guidance to reduce semantic drift across teams.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0005
CR-0009,run_2026-02-10_001,red,P1,done,Create canonical lexical guardrails distinguishing educational nutrition guidance from efficacy/clinical implication language and encode review fail examples.,"[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0009
CR-0011,run_2026-02-10_001,blue,P1,done,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0011
CR-0012,run_2026-02-10_001,blue,P1,done,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0012
CR-0011,run_2026-02-10_001,red,P1,done,"Publish a versioned claim-boundary lexicon for nutrition messaging with allowed/disallowed term classes, adversarial counterexamples, and explicit fail-on-phrase tests consumable by review gates.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0011
CR-0012,run_2026-02-10_001,red,P1,done,"Define a semantic contradiction checker spec: one canonical definition per term (clarity, confidence, trustworthy guidance) plus pass/fail examples showing cross-team misuse and required normalization decisions.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0012
CR-0016,run_2026-02-10_001,blue,P1,done,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0016
CR-0017,run_2026-02-10_001,blue,P1,done,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0017
CR-RED-0011,run_2026-02-10_001,red,P1,done,"Publish a versioned claim-boundary lexicon for nutrition messaging with allowed/disallowed term classes, adversarial counterexamples, and explicit fail-on-phrase tests consumable by review gates.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-RED-0011
CR-RED-0012,run_2026-02-10_001,red,P1,done,"Define a semantic contradiction checker spec: one canonical definition per term (clarity, confidence, trustworthy guidance) plus pass/fail examples showing cross-team misuse and required normalization decisions.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-RED-0012
CR-GREEN-0002,run_2026-02-10_001,green,P1,done,Publish user-facing canonical definitions and pass/fail examples for mode+label combinations to prevent interpretation drift during onboarding and review.,"[""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[""pipeline/05_white_output.md""]",white,CR-GREEN-0002
CR-0020-BLUE,run_2026-02-10_001,blue,P1,done,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0020-BLUE
CR-0021-BLUE,run_2026-02-10_001,blue,P1,done,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0021-BLUE
CR-0022-BLUE,run_2026-02-10_001,blue,P1,done,"Define publication-grade evidence and attribution language boundaries for educational vs promotional content classes, including required qualifier patterns and disallowed authority signals.","[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0022-BLUE
CR-0023-BLUE,run_2026-02-10_001,blue,P1,done,Define claim-level confidence labeling rubric (section and sentence scope) with pass/fail examples and contradiction handling rules.,"[""pipeline/05_white_output.md""]",[],"[""pipeline/05_white_output.md""]",white,CR-0023-BLUE
CR-RED-0013,run_2026-02-10_001,red,P1,done,Publish an adversarial lexical minimal-pair suite that tests semantic drift between educational and persuasive modes under synonym/paraphrase substitutions with explicit pass/fail criteria.,"[""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[""pipeline/05_white_output.md""]",white,CR-RED-0013
CR-RED-0014,run_2026-02-10_001,red,P1,done,"Define context-window fail tests that reject bounded safe phrases when co-occurring with urgency, fear pressure, or implied therapeutic certainty within the same artifact segment.","[""pipeline/05_white_output.md""]","[""teams/white/spec.md""]","[""pipeline/05_white_output.md""]",white,CR-RED-0014
CR-RED-0015,run_2026-02-10_001,red,P2,done,Specify canonical superseded-ID citation rules for narrative artifacts so audit and incident review consistently map legacy IDs to active team-scoped IDs.,"[""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/HANDOFF_PROTOCOL.md""]","[""pipeline/05_white_output.md""]",white,CR-RED-0015
CR-RED-0017,run_2026-02-10_001,red,P1,done,"Define exploit-pattern mutation classes (synonym, clause reordering, qualifier inversion, authority-signal substitution) with required fail invariants and coverage thresholds for White review artifacts.","[""pipeline/05_white_output.md""]","[""teams/white/spec.md""]","[""pipeline/05_white_output.md""]",white,CR-RED-0017
CR-RED-0018,run_2026-02-10_001,red,P1,done,Publish authority-signal red-flag taxonomy for educational-mode content including prohibited comparative constructs and selective-uncertainty patterns with pass/fail examples.,"[""pipeline/05_white_output.md""]","[""teams/white/spec.md"", ""teams/shared/OPERATING_DOCTRINE.md""]","[""pipeline/05_white_output.md""]",white,CR-RED-0018
CR-RED-0020,run_2026-02-10_001,red,P1,done,Completion record for CR-0002: trust failure-mode stress test delivered with explicit confusion/overclaim/judgment fail states and abuse vectors.,"[""pipeline/02_red_output.md""]",[],"[""pipeline/02_red_output.md""]",red,CR-0002
CR-RED-0021,run_2026-02-10_001,red,P1,done,Completion record for CR-0014: exploit patterns where informative framing masks overclaim/persuasive overreach were enumerated and severity-tagged.,"[""pipeline/02_red_output.md""]",[],"[""pipeline/02_red_output.md""]",red,CR-0014
CR-RED-0022,run_2026-02-10_001,red,P1,done,Completion record for CR-0024-BLUE: adversarial editorial exploit patterns for neutral-tone smuggling and detection cues were delivered.,"[""pipeline/02_red_output.md""]",[],"[""pipeline/02_red_output.md""]",red,CR-0024-BLUE
CR-0003,run_2026-02-10_001,blue,P1,done,Translate Blue intent into audience journey framing that increases felt clarity and confidence from first exposure through repeat purchase.,"[""pipeline/03_green_output.md""]",[],"[""pipeline/03_green_output.md""]",green,CR-0003
CR-0007,run_2026-02-10_001,red,P1,done,"Define explicit narrative fail-state tests for confusion, overclaim implication, and judgmental framing, mapped to discovery/evaluation/repeat-purchase journey checkpoints.","[""pipeline/03_green_output.md""]",[],"[""pipeline/03_green_output.md""]",green,CR-0007
CR-0013,run_2026-02-10_001,blue,P1,done,Map voice-lead rules by context (owned-channel marketing vs publication-grade educational content) and define user-facing transition principles that preserve trust.,"[""pipeline/03_green_output.md""]",[],"[""pipeline/03_green_output.md""]",green,CR-0013
CR-0025-BLUE,run_2026-02-10_001,blue,P1,done,"Map dual-voice transition rules for external publication pieces versus owned-channel campaigns, including user expectation continuity checkpoints.","[""pipeline/03_green_output.md""]",[],"[""pipeline/03_green_output.md""]",green,CR-0025-BLUE
