request_id,run_id,source_team,priority,status,statement,acceptance_criteria_refs,constraint_refs,evidence_refs,assignee,supersedes_request_id
CR-0001,run_2026-02-10_001,grey,P1,open,"example placeholder request","[]","[]","[]",qa_fixer,
CR-0002,run_2026-02-10_001,blue,P1,open,"Stress-test Blue narrative for trust failure modes and declare explicit fail states for confusion, overclaim perception, and judgmental tone.","[""pipeline/01_blue_output.md""]","[]","[]",red,""
CR-0003,run_2026-02-10_001,blue,P1,open,"Translate Blue intent into audience journey framing that increases felt clarity and confidence from first exposure through repeat purchase.","[""pipeline/01_blue_output.md""]","[]","[]",green,""
CR-0004,run_2026-02-10_001,blue,P1,open,"Define hard operational constraints that protect the trust-first narrative without diluting clarity for the primary pet-parent audience.","[""pipeline/01_blue_output.md""]","[]","[]",black,""
CR-0005,run_2026-02-10_001,blue,P1,open,"Create canonical definitions and review tests for clarity, confidence, and trustworthy guidance to reduce semantic drift across teams.","[""pipeline/01_blue_output.md""]","[]","[]",white,""
CR-0006,run_2026-02-10_001,blue,P1,open,"Synthesize cross-team outputs into one narrative spine that preserves user emotional meaning while handling unresolved tradeoffs.","[""pipeline/01_blue_output.md""]","[]","[]",grey,""
CR-0007,run_2026-02-10_001,red,P1,open,"Define explicit narrative fail-state tests for confusion, overclaim implication, and judgmental framing, mapped to discovery/evaluation/repeat-purchase journey checkpoints.","[""pipeline/02_red_output.md"", ""pipeline/01_blue_output.md""]","[]","[]",green,""
CR-0008,run_2026-02-10_001,red,P1,open,"Specify non-negotiable approval gates for packaging realism (geometry type fidelity, label-wrap feasibility, prohibited-zone coverage, and compliance-mark provenance).","[""pipeline/02_red_output.md""]","[]","[]",black,""
CR-0009,run_2026-02-10_001,red,P1,open,"Create canonical lexical guardrails distinguishing educational nutrition guidance from efficacy/clinical implication language and encode review fail examples.","[""pipeline/02_red_output.md"", ""pipeline/01_blue_output.md""]","[]","[]",white,""
CR-0010,run_2026-02-10_001,red,P1,open,"Synthesize cross-team controls into one anti-exploit approval path that blocks visually polished but unverifiable assets and preserves unresolved disagreements explicitly.","[""pipeline/02_red_output.md""]","[]","[]",grey,""
CR-0011,run_2026-02-10_001,blue,P1,open,"Define canonical dual-voice taxonomy (persuasive marketing vs neutral educational) with boundary tests, overlap rules, and prohibited crossover examples.","[""pipeline/01_blue_output.md"", ""teams/white/spec.md""]","[]","[]",white,""
CR-0012,run_2026-02-10_001,blue,P1,open,"Produce editorial trust lexicon and terminology normalization guide for health-adjacent claims, certainty qualifiers, and authority signaling language.","[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/spec.md""]","[]","[]",white,""
