entry_id,run_id,from_team,to_team,timestamp_utc,input_refs,output_ref,change_request_ids,blocking_flags,notes,supersedes_entry_id
1,run_2026-02-10_001,blue,red,2026-02-10T00:00:00Z,[],pipeline/01_blue_output.md,[],[],scaffold entry,
2,run_2026-02-10_001,blue,red,2026-02-10T21:54:03Z,"[""teams/blue/prompt.md"",""teams/blue/spec.md""]",pipeline/01_blue_output.md,"[""CR-0002"",""CR-0003"",""CR-0004"",""CR-0005"",""CR-0006""]",[],blue intent memo + downstream requests; handoff payload complete,
3,run_2026-02-10_001,red,green,2026-02-10T22:02:17Z,"[""pipeline/01_blue_output.md"", ""teams/red/prompt.md"", ""teams/red/spec.md""]",pipeline/02_red_output.md,"[""CR-0007"", ""CR-0008"", ""CR-0009"", ""CR-0010""]",[],red risk package complete; handoff payload fields satisfied,
4,run_2026-02-10_001,white,grey,2026-02-10T22:08:42Z,"[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/prompt.md"", ""teams/white/spec.md""]",pipeline/05_white_output.md,"[""CR-0011"", ""CR-0012""]","[""MISSING_STAGE_OUTPUT_GREEN"", ""MISSING_STAGE_OUTPUT_BLACK""]",white definitions + terminology normalization complete; CR-0005/CR-0009 addressed with implementation-ready requests for qa_fixer; awaiting grey prioritization,
5,run_2026-02-10_001,white,grey,2026-02-10T22:10:04Z,"[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""teams/white/prompt.md"", ""teams/white/spec.md"", ""pipeline/05_white_output.md""]",pipeline/05_white_output.md,"[""CR-0018"", ""CR-0019""]","[""MISSING_STAGE_OUTPUT_GREEN"", ""MISSING_STAGE_OUTPUT_BLACK""]",superseding entry 4 to resolve duplicate CR ID collision; white implementation requests renumbered for deterministic queue handling,4
6,run_2026-02-10_001,green,black,2026-02-10T22:13:36Z,"[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""pipeline/05_white_output.md"", ""teams/green/prompt.md"", ""teams/green/spec.md""]",pipeline/03_green_output.md,"[""CR-GREEN-0001"", ""CR-GREEN-0002"", ""CR-GREEN-0003""]",[],green stage complete; first-time-user friction package and constraint-bound requests issued for black/white, 
7,run_2026-02-10_001,black,white,2026-02-10T22:18:39Z,"[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""pipeline/03_green_output.md"", ""planning/RELEASE_GATES_POLICY.md"", ""planning/BUDGET_GUARDRAILS_STANDARD.md"", ""planning/AGENT_ROLE_CONTRACTS.md"", ""planning/ROLE_ESCALATION_PROTOCOL.md"", ""teams/shared/OPERATING_DOCTRINE.md"", ""teams/shared/HANDOFF_PROTOCOL.md"", ""teams/shared/PIPELINE_RUNBOOK.md""]",pipeline/04_black_output.md,"[""CR-BLACK-0001"", ""CR-BLACK-0002"", ""CR-BLACK-0003"", ""CR-BLACK-0004""]","[""RELEASE_GATE_LOG_EMPTY"", ""BUDGET_ENVELOPE_ARTIFACT_UNDECLARED""]","black stage complete; hard/advisory constraints declared with owner+enforcement path; handoff payload includes output_summary, risks_or_open_questions, and done_criteria",
8,run_2026-02-10_001,white,grey,2026-02-10T22:30:51Z,"[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""pipeline/03_green_output.md"", ""pipeline/04_black_output.md"", ""pipeline/05_white_output.md"", ""data/team_ops/change_request_queue.csv""]",pipeline/05_white_output.md,"[""CR-WHITE-0001"", ""CR-WHITE-0002""]",[],white completion package appended; all currently open white-assigned requests marked done with fulfillment evidence in stage-05 output,
7,run_2026-02-10_001,green,black,2026-02-10T22:35:20Z,"[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""pipeline/05_white_output.md"", ""pipeline/03_green_output.md"", ""teams/green/spec.md""]",pipeline/03_green_output.md,"[""CR-GREEN-0004"", ""CR-GREEN-0005"", ""CR-GREEN-0006""]",[],green completed CR-0003/CR-0007/CR-0013/CR-0025-BLUE and issued downstream constraint/definition/synthesis requests, 
9,run_2026-02-10_001,black,white,2026-02-10T22:37:29Z,"[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""pipeline/03_green_output.md"", ""pipeline/05_white_output.md"", ""planning/BUDGET_GUARDRAILS_STANDARD.md"", ""planning/RELEASE_GATES_POLICY.md"", ""planning/AGENT_ROLE_CONTRACTS.md"", ""teams/shared/OPERATING_DOCTRINE.md"", ""teams/shared/HANDOFF_PROTOCOL.md""]",pipeline/04_black_output.md,"[""CR-0004"", ""CR-0008"", ""CR-GREEN-0001"", ""CR-GREEN-0003"", ""CR-0026-BLUE"", ""CR-RED-0016""]","[]","black fulfillment addendum appended; all currently open black-assigned requests marked done via append-only superseding rows",""
10,run_2026-02-10_001,black,white,2026-02-10T22:38:41Z,"[""pipeline/03_green_output.md"", ""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""planning/RELEASE_GATES_POLICY.md"", ""teams/shared/HANDOFF_PROTOCOL.md""]",pipeline/04_black_output.md,"[""CR-GREEN-0004""]","[]","black completed CR-GREEN-0004 with context-bound voice constraints and mode-label gating",""
11,run_2026-02-10_001,grey,qa_fixer,2026-02-10T22:45:06Z,"[""pipeline/01_blue_output.md"", ""pipeline/02_red_output.md"", ""pipeline/03_green_output.md"", ""pipeline/04_black_output.md"", ""pipeline/05_white_output.md"", ""pipeline/06_grey_output.md"", ""data/team_ops/change_request_queue.csv""]",pipeline/06_grey_output.md,"[""CR-0018"", ""CR-0019"", ""CR-BLACK-0001"", ""CR-BLACK-0002"", ""CR-BLACK-0003"", ""CR-BLACK-0004"", ""CR-WHITE-0001"", ""CR-WHITE-0002"", ""CR-WHITE-0003""]",[],grey integrated directive complete; prioritized QA bundle issued with explicit acceptance refs,
